

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

093.208  000.035  000.035: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-bbye/plugin/bbye.vim
093.498  000.060  000.060: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-choosewin/plugin/choosewin.vim
094.163  000.431  000.431: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-commando/plugin/commando.vim
094.652  000.225  000.225: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-conjoin/plugin/conjoin.vim
094.989  000.092  000.092: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
096.132  000.933  000.933: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
096.949  000.607  000.607: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
097.398  000.219  000.219: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-gh-line/plugin/vim-gh-line.vim
097.731  000.042  000.042: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-highlighturl/plugin/highlighturl.vim
098.011  000.048  000.048: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-illuminate/plugin/illuminate.vim
098.293  000.058  000.058: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-isotope/plugin/isotope.vim
098.644  000.052  000.052: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-lastplace/plugin/vim-lastplace.vim
098.955  000.022  000.022: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-lightline-coc/plugin/lightline/coc.vim
099.774  000.010  000.010: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchparen.vim
100.136  000.090  000.090: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchparen.vim
100.722  000.265  000.265: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup.vim
101.116  000.058  000.058: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/perf.vim
102.030  000.550  000.550: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/loader.vim
102.643  000.347  000.347: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/matchparen.vim
103.289  003.915  002.594: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/plugin/matchup.vim
104.097  000.204  000.204: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/operator/sandwich.vim
104.331  000.187  000.187: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/sandwich.vim
104.456  000.077  000.077: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-sandwich/plugin/textobj/sandwich.vim
105.043  000.230  000.230: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-schlepp/plugin/schlepp.vim
105.280  000.019  000.019: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-silicon/plugin/silicon.vim
105.520  000.017  000.017: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
105.795  000.057  000.057: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-startify/plugin/startify.vim
106.376  000.363  000.363: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-table-mode/plugin/table-mode.vim
107.185  000.400  000.400: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-troll-stopper/plugin/troll_stopper.vim
108.010  000.120  000.120: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/plugs.vim
108.556  000.091  000.091: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps.vim
108.896  000.069  000.069: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps/all.vim
109.466  002.011  001.731: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-visual-multi/plugin/visual-multi.vim
109.781  000.050  000.050: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-visual-star-search/plugin/visual-star-search.vim
110.124  000.020  000.020: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vimtex/plugin/vimtex.vim
110.400  000.038  000.038: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/visualrepeat/plugin/visualrepeat.vim
110.868  000.152  000.152: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/winresizer/plugin/winresizer.vim
111.075  015.900: loading packages
111.562  000.113  000.113: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/tabular/autoload/tabular.vim
112.469  001.210  001.097: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/tabular/after/plugin/TabularMaps.vim
112.906  000.063  000.063: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/ultisnips/after/plugin/UltiSnips_after.vim
113.054  000.005  000.005: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/after/plugin/matchit.vim
113.478  001.126: loading after plugins
113.487  000.009: inits 3
129.896  016.409: reading ShaDa
130.827  000.472  000.472: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-startify/autoload/startify.vim
139.610  000.116  000.116: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-startify/syntax/startify.vim
140.732  000.075  000.075: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-highlighturl/autoload/highlighturl.vim
141.153  000.037  000.037: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/ts_engine.vim
142.250  000.021  000.021: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/re.vim
142.806  012.189: opening buffers
143.417  000.368  000.368: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/autoload/lightline.vim
147.737  003.825  003.825: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-fugitive/autoload/fugitive.vim
147.999  000.038  000.038: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/autoload/lightline/tab.vim
148.371  000.104  000.104: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/autoload/lightline/colorscheme.vim
150.162  001.636  001.636: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/autoload/lightline/colorscheme/PaperColor_light.vim
150.174  002.015  000.275: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/autoload/lightline/colorscheme/PaperColor.vim
153.903  004.851: BufEnter autocommands
153.906  000.003: editing files in windows
154.545  000.639: VimEnter autocommands
154.546  000.001: UIEnter autocommands
154.547  000.001: before starting main loop
155.226  000.588  000.588: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/coc.nvim/autoload/coc/float.vim
155.628  000.071  000.071: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-illuminate/autoload/illuminate.vim
155.972  000.062  000.062: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/pos.vim
156.624  000.310  000.310: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-matchup/autoload/matchup/delim.vim
162.046  006.469: first screen update
162.048  000.002: --- NVIM STARTED ---
